TimeSlice	Time	adductorbrevis	adductorlongus	adductormagnus	bicepsfemorisanterior	bicepsfemorisposterior	caudofemoralis	extensordigitorumlongus	flexordigitorumlongus	flexorhallucislongus	gemellusinferior	gemellussuperior	gluteusmaximus	gluteusmedius	gluteusminimus	gracilisanterior	gracilisposterior	illiopsoas	lateralgastrocnemius	medialgastrocnemius	obturatorexternus	obturatorinternus	pectineus	peroneuslongus	piriformis	plantaris	popliteus	quadratusfemoris	rectusfemoris	semimembranosus	semitendinosusaccessory	semitendinosusprincipal	soleus	tensorfascialatae	tibialisanterior	tibialisposterior	vastusintermedius	vastuslateralis	vastusmedialis
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0.00054	13.0734	0.0491083	1.04659	0.805543	0.520372	1.85909	0.15676	0.133638	1.74506	0.0761741	0.00673939	0.437211	0.892672	0.475148	1.66085	1.56767	0.438155	11.1365	0.157574	2.22629	0.0476752	0.208271	0.062131	0.573906	0.0780189	0.464424	0.0469897	0.806622	4.05139	0.675515	0.47206	0.0182538	1.83821	0.106522	0.0765761	0.150573	0.223082	0.137573
2	0.00108	13.0734	0.0491083	1.04659	0.805543	0.520372	1.85909	0.15676	0.133638	1.74506	0.0761741	0.00673939	0.437211	0.892672	0.475148	1.66085	1.56767	0.438155	11.1365	0.157574	2.22629	0.0476752	0.208271	0.062131	0.573906	0.0780189	0.464424	0.0469897	0.806622	4.05139	0.675515	0.47206	0.0182538	1.83821	0.106522	0.0765761	0.150573	0.223082	0.137573
3	0.00162	13.0734	0.0491083	1.04659	0.805543	0.520372	1.85909	0.15676	0.133638	1.74506	0.0761741	0.00673939	0.437211	0.892672	0.475148	1.66085	1.56767	0.438155	11.1365	0.157574	2.22629	0.0476752	0.208271	0.062131	0.573906	0.0780189	0.464424	0.0469897	0.806622	4.05139	0.675515	0.47206	0.0182538	1.83821	0.106522	0.0765761	0.150573	0.223082	0.137573
4	0.00216	13.0734	0.0491083	1.04659	0.805543	0.520372	1.85909	0.15676	0.133638	1.74506	0.0761741	0.00673939	0.437211	0.892672	0.475148	1.66085	1.56767	0.438155	11.1365	0.157574	2.22629	0.0476752	0.208271	0.062131	0.573906	0.0780189	0.464424	0.0469897	0.806622	4.05139	0.675515	0.47206	0.0182538	1.83821	0.106522	0.0765761	0.150573	0.223082	0.137573
5	0.0027	13.0734	0.0491083	1.04659	0.805543	0.520372	1.85909	0.15676	0.133638	1.74506	0.0761741	0.00673939	0.437211	0.892672	0.475148	1.66085	1.56767	0.438155	11.1365	0.157574	2.22629	0.0476752	0.208271	0.062131	0.573906	0.0780189	0.464424	0.0469897	0.806622	4.05139	0.675515	0.47206	0.0182538	1.83821	0.106522	0.0765761	0.150573	0.223082	0.137573
6	0.00324	13.0734	0.0491083	1.04659	0.805543	0.520372	1.85909	0.15676	0.133638	1.74506	0.0761741	0.00673939	0.437211	0.892672	0.475148	1.66085	1.56767	0.438155	11.1365	0.157574	2.22629	0.0476752	0.208271	0.062131	0.573906	0.0780189	0.464424	0.0469897	0.806622	4.05139	0.675515	0.47206	0.0182538	1.83821	0.106522	0.0765761	0.150573	0.223082	0.137573
7	0.00378	13.0734	0.0491083	1.04659	0.805543	0.520372	1.85909	0.15676	0.133638	1.74506	0.0761741	0.00673939	0.437211	0.892672	0.475148	1.66085	1.56767	0.438155	11.1365	0.157574	2.22629	0.0476752	0.208271	0.062131	0.573906	0.0780189	0.464424	0.0469897	0.806622	4.05139	0.675515	0.47206	0.0182538	1.83821	0.106522	0.0765761	0.150573	0.223082	0.137573
8	0.00432	13.0734	0.0491083	1.04659	0.805543	0.520372	1.85909	0.15676	0.133638	1.74506	0.0761741	0.00673939	0.437211	0.892672	0.475148	1.66085	1.56767	0.438155	11.1365	0.157574	2.22629	0.0476752	0.208271	0.062131	0.573906	0.0780189	0.464424	0.0469897	0.806622	4.05139	0.675515	0.47206	0.0182538	1.83821	0.106522	0.0765761	0.150573	0.223082	0.137573
9	0.00486	13.0734	0.0491083	1.04659	0.805543	0.520372	1.85909	0.15676	0.133638	1.74506	0.0761741	0.00673939	0.437211	0.892672	0.475148	1.66085	1.56767	0.438155	11.1365	0.157574	2.22629	0.0476752	0.208271	0.062131	0.573906	0.0780189	0.464424	0.0469897	0.806622	4.05139	0.675515	0.47206	0.0182538	1.83821	0.106522	0.0765761	0.150573	0.223082	0.137573
10	0.0054	13.0734	0.0491083	1.04659	0.805543	0.520372	1.85909	0.15676	0.133638	1.74506	0.0761741	0.00673939	0.437211	0.892672	0.475148	1.66085	1.56767	0.438155	11.1365	0.157574	2.22629	0.0476752	0.208271	0.062131	0.573906	0.0780189	0.464424	0.0469897	0.806622	4.05139	0.675515	0.47206	0.0182538	1.83821	0.106522	0.0765761	0.150573	0.223082	0.137573
11	0.00594	13.0734	0.0491083	1.04659	0.805543	0.520372	1.85909	0.15676	0.133638	1.74506	0.0761741	0.00673939	0.437211	0.892672	0.475148	1.66085	1.56767	0.438155	11.1365	0.157574	2.22629	0.0476752	0.208271	0.062131	0.573906	0.0780189	0.464424	0.0469897	0.806622	4.05139	0.675515	0.47206	0.0182538	1.83821	0.106522	0.0765761	0.150573	0.223082	0.137573
12	0.00648	13.0734	0.0491083	1.04659	0.805543	0.520372	1.85909	0.15676	0.133638	1.74506	0.0761741	0.00673939	0.437211	0.892672	0.475148	1.66085	1.56767	0.438155	11.1365	0.157574	2.22629	0.0476752	0.208271	0.062131	0.573906	0.0780189	0.464424	0.0469897	0.806622	4.05139	0.675515	0.47206	0.0182538	1.83821	0.106522	0.0765761	0.150573	0.223082	0.137573
13	0.00702	13.0734	0.0491083	1.04659	0.805543	0.520372	1.85909	0.15676	0.133638	1.74506	0.0761741	0.00673939	0.437211	0.892672	0.475148	1.66085	1.56767	0.438155	11.1365	0.157574	2.22629	0.0476752	0.208271	0.062131	0.573906	0.0780189	0.464424	0.0469897	0.806622	4.05139	0.675515	0.47206	0.0182538	1.83821	0.106522	0.0765761	0.150573	0.223082	0.137573
14	0.00756	13.0734	0.0491083	1.04659	0.805543	0.520372	1.85909	0.15676	0.133638	1.74506	0.0761741	0.00673939	0.437211	0.892672	0.475148	1.66085	1.56767	0.438155	11.1365	0.157574	2.22629	0.0476752	0.208271	0.062131	0.573906	0.0780189	0.464424	0.0469897	0.806622	4.05139	0.675515	0.47206	0.0182538	1.83821	0.106522	0.0765761	0.150573	0.223082	0.137573
15	0.0081	13.0734	0.0491083	1.04659	0.805543	0.520372	1.85909	0.15676	0.133638	1.74506	0.0761741	0.00673939	0.437211	0.892672	0.475148	1.66085	1.56767	0.438155	11.1365	0.157574	2.22629	0.0476752	0.208271	0.062131	0.573906	0.0780189	0.464424	0.0469897	0.806622	4.05139	0.675515	0.47206	0.0182538	1.83821	0.106522	0.0765761	0.150573	0.223082	0.137573
16	0.00864	13.0734	0.0491083	1.04659	0.805543	0.520372	1.85909	0.15676	0.133638	1.74506	0.0761741	0.00673939	0.437211	0.892672	0.475148	1.66085	1.56767	0.438155	11.1365	0.157574	2.22629	0.0476752	0.208271	0.062131	0.573906	0.0780189	0.464424	0.0469897	0.806622	4.05139	0.675515	0.47206	0.0182538	1.83821	0.106522	0.0765761	0.150573	0.223082	0.137573
17	0.00918	13.0734	0.0491083	1.04659	0.805543	0.520372	1.85909	0.15676	0.133638	1.74506	0.0761741	0.00673939	0.437211	0.892672	0.475148	1.66085	1.56767	0.438155	11.1365	0.157574	2.22629	0.0476752	0.208271	0.062131	0.573906	0.0780189	0.464424	0.0469897	0.806622	4.05139	0.675515	0.47206	0.0182538	1.83821	0.106522	0.0765761	0.150573	0.223082	0.137573
18	0.00972	13.0734	0.0491083	1.04659	0.805543	0.520372	1.85909	0.15676	0.133638	1.74506	0.0761741	0.00673939	0.437211	0.892672	0.475148	1.66085	1.56767	0.438155	11.1365	0.157574	2.22629	0.0476752	0.208271	0.062131	0.573906	0.0780189	0.464424	0.0469897	0.806622	4.05139	0.675515	0.47206	0.0182538	1.83821	0.106522	0.0765761	0.150573	0.223082	0.137573
19	0.01026	13.0734	0.0491083	1.04659	0.805543	0.520372	1.85909	0.15676	0.133638	1.74506	0.0761741	0.00673939	0.437211	0.892672	0.475148	1.66085	1.56767	0.438155	11.1365	0.157574	2.22629	0.0476752	0.208271	0.062131	0.573906	0.0780189	0.464424	0.0469897	0.806622	4.05139	0.675515	0.47206	0.0182538	1.83821	0.106522	0.0765761	0.150573	0.223082	0.137573
20	0.0108	13.0734	0.0491083	1.04659	0.805543	0.520372	1.85909	0.15676	0.133638	1.74506	0.0761741	0.00673939	0.437211	0.892672	0.475148	1.66085	1.56767	0.438155	11.1365	0.157574	2.22629	0.0476752	0.208271	0.062131	0.573906	0.0780189	0.464424	0.0469897	0.806622	4.05139	0.675515	0.47206	0.0182538	1.83821	0.106522	0.0765761	0.150573	0.223082	0.137573
21	0.01134	13.0734	0.0491083	1.04659	0.805543	0.520372	1.85909	0.15676	0.133638	1.74506	0.0761741	0.00673939	0.437211	0.892672	0.475148	1.66085	1.56767	0.438155	11.1365	0.157574	2.22629	0.0476752	0.208271	0.062131	0.573906	0.0780189	0.464424	0.0469897	0.806622	4.05139	0.675515	0.47206	0.0182538	1.83821	0.106522	0.0765761	0.150573	0.223082	0.137573
22	0.01188	13.0734	0.0491083	1.04659	0.805543	0.520372	1.85909	0.15676	0.133638	1.74506	0.0761741	0.00673939	0.437211	0.892672	0.475148	1.66085	1.56767	0.438155	11.1365	0.157574	2.22629	0.0476752	0.208271	0.062131	0.573906	0.0780189	0.464424	0.0469897	0.806622	4.05139	0.675515	0.47206	0.0182538	1.83821	0.106522	0.0765761	0.150573	0.223082	0.137573
23	0.01242	13.0734	0.0491083	1.04659	0.805543	0.520372	1.85909	0.15676	0.133638	1.74506	0.0761741	0.00673939	0.437211	0.892672	0.475148	1.66085	1.56767	0.438155	11.1365	0.157574	2.22629	0.0476752	0.208271	0.062131	0.573906	0.0780189	0.464424	0.0469897	0.806622	4.05139	0.675515	0.47206	0.0182538	1.83821	0.106522	0.0765761	0.150573	0.223082	0.137573
24	0.01296	13.0734	0.0491083	1.04659	0.805543	0.520372	1.85909	0.15676	0.133638	1.74506	0.0761741	0.00673939	0.437211	0.892672	0.475148	1.66085	1.56767	0.438155	11.1365	0.157574	2.22629	0.0476752	0.208271	0.062131	0.573906	0.0780189	0.464424	0.0469897	0.806622	4.05139	0.675515	0.47206	0.0182538	1.83821	0.106522	0.0765761	0.150573	0.223082	0.137573
